"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1903037","GO:1903037","regulation of leukocyte cell-cell adhesion","126/3909","392/18986",0.321428571428571,1.56117750246683,5.71659652052791,4.06740456088854e-08,8.18467781276994e-06,7.06947230848092e-06,"AKT1/ALOX5/AP3B1/AP3D1/ARG1/ARID2/B2M/BAD/BMP4/BRD2/BRD4/CASP3/CCDC88B/CCL2/CCR2/CCR7/CD274/CD28/CD46/CD55/CD6/CD69/CD70/CD83/CD86/CHST2/CR1/CTLA4/CYLD/CYRIB/DHPS/DLG5/DOCK8/EFNB1/EGR3/ERBB2/FBXO38/GATA3/GCNT1/GLMN/HES1/HLA-DOB/HLA-DPA1/HLA-DRA/HLA-DRB1/HLA-DRB4/HLX/ICOS/ICOSLG/IFNG/IGF2/IGFBP2/IL15/IL1B/IL2RA/IL2RG/IL7/IL7R/IRAK1/IRF1/ITGA4/JAK2/KLRK1/LAPTM5/LEF1/LGALS1/LYN/MAD1L1/MALT1/MARCHF7/MTOR/NCK1/NCKAP1L/NFKBIZ/PAG1/PDCD1LG2/PELI1/PRDX2/PRKCQ/PTPN11/PTPN2/PTPRC/PYCARD/RARA/RASGRP1/RC3H1/RELA/RHOH/RIPK2/RIPOR2/RUNX1/RUNX3/SART1/SCRIB/SELE/SHB/SHH/SIRPB1/SIRPG/SKAP1/SLAMF1/SLC4A2/SMAD7/SMARCA4/SMARCC2/SMARCD2/SMARCD3/SOX12/SOX13/SYK/TARM1/TBX21/TFRC/TGFB1/TGFBR2/TIGIT/TMEM131L/TNFSF13B/TNFSF4/TYK2/UFL1/VNN1/XBP1/ZAP70/ZBTB7B/ZDHHC21",126
"GO:0050870","GO:0050870","positive regulation of T cell activation","91/3909","260/18986",0.35,1.69994883601944,5.78643566189299,4.14807871410577e-08,8.18467781276994e-06,7.06947230848092e-06,"AKT1/AP3B1/AP3D1/ARID2/B2M/BAD/BRD2/BRD4/CCDC88B/CCL2/CCR2/CCR7/CD274/CD28/CD46/CD55/CD6/CD70/CD83/CD86/CR1/CYLD/CYRIB/DHPS/DOCK8/EFNB1/EGR3/FBXO38/GATA3/HES1/HLA-DOB/HLA-DPA1/HLA-DRA/HLA-DRB1/HLA-DRB4/HLX/ICOS/ICOSLG/IFNG/IGF2/IGFBP2/IL15/IL1B/IL2RA/IL2RG/IL7/IL7R/JAK2/KLRK1/LEF1/LGALS1/LYN/MALT1/MTOR/NCK1/NCKAP1L/NFKBIZ/PDCD1LG2/PRKCQ/PTPN11/PTPRC/PYCARD/RARA/RASGRP1/RHOH/RIPK2/RUNX1/RUNX3/SART1/SHB/SHH/SIRPB1/SIRPG/SLAMF1/SMARCA4/SMARCC2/SMARCD2/SMARCD3/SOX12/SOX13/SYK/TFRC/TGFB1/TGFBR2/TNFSF13B/TNFSF4/TYK2/VNN1/XBP1/ZAP70/ZBTB7B",91
"GO:1902105","GO:1902105","regulation of leukocyte differentiation","111/3909","337/18986",0.329376854599407,1.5997822873943,5.6566782985729,6.22129250828528e-08,1.19034063325192e-05,1.02815044610609e-05,"AP3B1/AP3D1/ARID2/AXL/BAD/BMP4/BRD2/BRD4/CAMK4/CASP8/CCR1/CCR2/CD2/CD28/CD46/CD69/CD83/CD86/CR1/CSF1/CTLA4/CYLD/DDRGK1/EGR3/ERBB2/EVI2B/FBXO7/FBXW7/FCRL3/FES/GATA3/GPR137/GPR137B/HLA-DRA/HLA-DRB1/HLX/HOXA7/HSF1/ID2/IFNG/IKZF3/IL15/IL2RA/IL2RG/IL7/IL7R/IRF1/IRF4/IRF7/JUNB/KAT2A/LEF1/LGALS1/LYN/MALT1/MTOR/NCKAP1L/NEDD9/NFKBIZ/PF4/PGLYRP3/PPP2R3C/PRDM1/PRDX2/PRKDC/PTPN2/PTPRC/RARA/RASGRP1/RASSF2/RB1/RC3H1/RHOH/RIPK2/RNF41/RUNX1/RUNX3/SART1/SHB/SHH/SLC4A2/SMAD7/SMARCA4/SMARCC2/SMARCD2/SMARCD3/SOS2/SOX12/SOX13/SYK/TBX21/TFE3/TGFB1/TGFBR2/TLR4/TM4SF19/TMEM131L/TMEM176A/TMEM64/TNFAIP6/TNFSF4/TOB2/TOX/TRIB1/VNN1/XBP1/ZAP70/ZBTB46/ZBTB7B/ZEB1/ZFPM1",111
"GO:0043254","GO:0043254","regulation of protein-containing complex assembly","135/3909","433/18986",0.311778290993072,1.51430612248515,5.51238114783567,1.03358388007855e-07,1.91414321889762e-05,1.65333111333354e-05,"ABCA3/ABHD17A/AJUBA/AKAP9/ANKRD53/APOE/ARFGEF1/ARHGAP18/ARHGEF7/ARL2/ATM/ATR/BAIAP2/BAX/BBC3/BCL11A/BCL2L11/BIN1/BRSK1/CAND1/CAPZA1/CARD8/CCR7/CDC42EP1/CDC42EP2/CDC42EP3/CDC42EP4/CDC42EP5/CLASP2/CLDN7/CLEC7A/CLIP3/CLU/CRACD/CRBN/CSNK1A1/CXCL13/CYFIP2/CYRIB/DAB2IP/DCTN1/ELN/FES/FLII/FNIP1/FSCN1/GBP5/GFAP/GIT1/HAUS5/HAUS7/HCFC1/HES1/HRG/HSF1/HSPA1A/HSPA1B/ICE1/IFI16/IFNG/KANK2/KANK3/LCP1/LMOD3/MAPK15/MAPK8/MAPRE3/MED25/MKKS/MMP1/MMP3/MTLN/MTOR/MYADM/NCK1/NCKAP1L/NCLN/NOP53/NR1H2/NUMA1/OGT/PEX5/PIEZO1/PIK3R2/PINK1/PLEK/PLEKHG2/PPP2R5B/PREB/PRKCE/PRRT2/PTK2B/PTPN11/PYCARD/RASA1/RASIP1/RB1/RHOC/RICTOR/RIOK3/SEPTIN8/SKAP1/SLF1/SORL1/SOST/SPTAN1/SPTBN1/SPTBN4/SPTBN5/SSH2/SSH3/STMN1/STXBP5/SVIL/SYK/TFRC/TGFB1/THRA/TLR4/TLR6/TOGARAM1/TPPP/TPPP3/TRAF2/TRAF3IP1/TRIM11/TRIM65/TRIOBP/TWF2/ULK1/USP50/VEGFA/VPS8/WARS1/ZDHHC12",135
"GO:0060759","GO:0060759","regulation of response to cytokine stimulus","73/3909","199/18986",0.366834170854271,1.78171234787393,5.64449978916959,1.06105499938892e-07,1.91414321889762e-05,1.65333111333354e-05,"ADAM17/AGPAT1/ARG1/AXL/C1QTNF4/CACTIN/CARD16/CARD8/CASP4/CASP8/CDC37/CNOT7/CSF1/CXCR4/CYLD/DHX9/DICER1/EDN1/EXT1/F2RL1/GFI1/GPS2/GSTP1/HIF1A/HSPA1A/HSPA1B/IFIH1/IL1RN/IL7/IRAK1/IRAK3/IRF3/IRF7/LAPTM5/MAPK7/MAPKAPK2/MIB2/NAIP/NLRC5/NOL3/NR1H2/OAS3/PALM3/PARP14/PELI3/PIAS4/PTPN1/PTPN11/PTPN2/PTPRC/PXDN/PYCARD/RIPK2/SHARPIN/SIGIRR/SPPL2B/STAP1/SYK/TANK/TLE5/TLR2/TLR4/TRAF2/TRIM41/TRIM56/TXK/ULK1/USP25/USP27X/VRK2/YTHDF2/YTHDF3/ZBP1",73
"GO:0045621","GO:0045621","positive regulation of lymphocyte differentiation","55/3909","137/18986",0.401459854014599,1.94988917583043,5.68158794819554,1.29454409092964e-07,2.27048649725825e-05,1.96112074125919e-05,"AP3B1/AP3D1/ARID2/AXL/BAD/BRD2/BRD4/CD46/CD83/CD86/CR1/CYLD/DDRGK1/EGR3/GATA3/HLA-DRA/HLA-DRB1/HLX/IFNG/IL15/IL2RA/IL2RG/IL7/IL7R/LEF1/MALT1/NCKAP1L/NFKBIZ/PPP2R3C/PRKDC/PTPRC/RARA/RASGRP1/RHOH/RIPK2/RUNX1/RUNX3/SART1/SHB/SHH/SMARCA4/SMARCC2/SMARCD2/SMARCD3/SOX12/SOX13/SYK/TGFB1/TGFBR2/TNFSF4/TOX/VNN1/XBP1/ZAP70/ZBTB7B",55
"GO:0045785","GO:0045785","positive regulation of cell adhesion","151/3909","499/18986",0.302605210420842,1.46975250065237,5.41460551674124,1.50326363684194e-07,2.5652990818973e-05,2.21576355689277e-05,"ADAM19/AKT1/ALOX5/AP3B1/AP3D1/APBB1IP/ARHGEF7/ARID2/ARL2/ATM/B2M/BAD/BRD2/BRD4/CCDC88B/CCL2/CCR2/CCR7/CD274/CD28/CD46/CD55/CD6/CD70/CD83/CD86/CHST2/COL16A1/CR1/CSF1/CX3CL1/CXCL13/CYLD/CYRIB/DAG1/DHPS/DISC1/DOCK5/DOCK8/EFEMP2/EFNB1/EGR3/EMILIN1/ERBB2/FBXO38/FLOT1/FOXA1/FRMD5/FUT3/GATA3/GCNT1/HES1/HLA-DOB/HLA-DPA1/HLA-DRA/HLA-DRB1/HLA-DRB4/HLX/HRG/HSD17B12/HYAL1/ICOS/ICOSLG/IFNG/IGF2/IGFBP2/IL15/IL1B/IL2RA/IL2RG/IL7/IL7R/ILK/IRAK1/ITGA3/ITGA4/ITGA6/JAK2/JUP/KLRK1/LAMB2/LEF1/LGALS1/LYN/MALT1/MMRN1/MTOR/MYADM/NCK1/NCKAP1L/NEDD9/NFKBIZ/PDCD1LG2/PDGFB/PDPN/PIEZO1/PIK3R2/PKP3/PRKCE/PRKCQ/PTK2B/PTPN11/PTPRC/PTPRJ/PYCARD/RARA/RASGRP1/RELA/RHOH/RIPK2/RNASE10/RRAS/RREB1/RUNX1/RUNX3/SART1/SELE/SHB/SHH/SIRPB1/SIRPG/SKAP1/SLAMF1/SMAD7/SMARCA4/SMARCC2/SMARCD2/SMARCD3/SOX12/SOX13/SPOCK2/STK4/STX4/SYK/TEK/TFE3/TFRC/TGFB1/TGFBR2/TGM2/TNFSF13B/TNFSF4/TRIOBP/TYK2/VEGFA/VNN1/VWC2/XBP1/ZAP70/ZBTB7B/ZFHX3",151
"GO:0035966","GO:0035966","response to topologically incorrect protein","61/3909","160/18986",0.38125,1.85172998209261,5.5088832440579,2.45118831419799e-07,4.07284289890686e-05,3.51789658057057e-05,"ABCA7/ATF3/ATF6/ATF6B/BAG3/BAX/BBC3/BCL2L11/BHLHA15/BOK/CCND1/CLU/CUL3/DAB2IP/DAXX/DDIT3/DDRGK1/DERL1/DERL3/DNAJB1/DNAJB2/DNAJB9/DNAJC3/DNAJC4/EDEM1/EDEM3/EIF2AK3/EPG5/ERLEC1/ERO1A/ERP44/FICD/HERPUD1/HSF1/HSP90AB1/HSPA1A/HSPB1/HSPB2/JKAMP/MBTPS2/NCK1/PARP8/PPP1R15A/PTPN1/PTPN2/RHBDD1/RNF126/SELENOS/STT3B/THBS4/TMBIM4/TMBIM6/TMEM129/TMEM33/TMTC4/TRAM1/UBE2W/UBR4/UBR5/UFL1/XBP1",61
"GO:0032784","GO:0032784","regulation of DNA-templated transcription elongation","43/3909","100/18986",0.43,2.08850856996674,5.55702727646624,3.1579194959301e-07,5.11259069161607e-05,4.41597325463262e-05,"AXIN1/BRD4/BTBD18/CCNT2/CDK9/EAF2/ELL2/ELL3/ELOA2/EZH2/GTF2F1/HEXIM1/HMGN1/INTS1/INTS10/INTS11/INTS13/INTS3/INTS5/INTS7/INTS9/MED14/MED16/MED22/MED23/MED25/MED29/MED31/MED6/NCBP1/NELFA/NELFB/NELFCD/NELFE/PWWP2B/RNF168/SETD5/SHH/SUPT5H/SUPT6H/TCEA2/TCERG1/ZC3H4",43
"GO:1903706","GO:1903706","regulation of hemopoiesis","133/3909","433/18986",0.30715935334873,1.49187195770759,5.27192967043601,3.2815425223794e-07,5.17991487157588e-05,4.47412416011781e-05,"ACVR2A/AP3B1/AP3D1/ARID2/AXL/B2M/BAD/BMP4/BRD2/BRD4/CAMK4/CASP8/CCR1/CCR2/CD2/CD28/CD46/CD69/CD83/CD86/CR1/CSF1/CSF3R/CTLA4/CYLD/DDRGK1/DLL1/EGR3/ERBB2/EVI2B/FBXO7/FBXW7/FCRL3/FES/GATA3/GPR137/GPR137B/H4C15/H4C4/H4C5/H4C8/HIF1A/HLA-DRA/HLA-DRB1/HLX/HOXA7/HSF1/HSPA1A/HSPA1B/ID2/IFNG/IKZF3/IL15/IL2RA/IL2RG/IL7/IL7R/IRF1/IRF4/IRF7/JUNB/KAT2A/LEF1/LGALS1/LOX/LYN/MALT1/MAPK14/MEF2C/MEIS2/MPL/MTOR/MYSM1/NCKAP1L/NEDD9/NFKBIZ/PAF1/PF4/PGLYRP3/PPP2R3C/PRDM1/PRDX2/PRKDC/PTK2B/PTPN2/PTPRC/RARA/RARG/RASGRP1/RASSF2/RB1/RC3H1/RCOR1/RHOH/RIPK2/RNF41/RUNX1/RUNX3/SART1/SHB/SHH/SLC4A2/SMAD7/SMARCA4/SMARCC2/SMARCD2/SMARCD3/SOS2/SOX12/SOX13/STAT1/SYK/TBX21/TFE3/TGFB1/TGFBR2/TLR4/TM4SF19/TMEM131L/TMEM176A/TMEM64/TNFAIP6/TNFSF4/TOB2/TOX/TRIB1/VNN1/XBP1/ZAP70/ZBTB46/ZBTB7B/ZEB1/ZFPM1",133
"GO:0030183","GO:0030183","B cell differentiation","54/3909","139/18986",0.388489208633094,1.8868907943484,5.34363887230666,5.85994201365515e-07,9.02431070102893e-05,7.79470078889533e-05,"ADAM17/ATM/BAD/BAX/BCL2/CD19/CD79A/CR1/CR2/CYLD/DCLRE1C/DDRGK1/DLL1/DNAJB9/DOCK10/DOCK11/EZH2/FCRL3/FNIP1/FOSL2/GPR183/GPS2/HDAC5/HHEX/ID2/IGHM/IKZF3/IL2RG/IL7/ITGA4/LFNG/LGALS1/LRRC8A/MALT1/NCKAP1L/NFKBIZ/PAX5/PIK3R2/PLCL2/PPP2R3C/PRKDC/PTK2B/PTPN2/PTPRC/PTPRJ/SLC39A7/SP3/ST3GAL1/SYK/TCF3/TNFSF13B/TPD52/XBP1/ZBTB7A",54
"GO:0045582","GO:0045582","positive regulation of T cell differentiation","49/3909","122/18986",0.401639344262295,1.95076095936657,5.36432436141066,6.04393823323768e-07,9.0721059353466e-05,7.83598367054511e-05,"AP3B1/AP3D1/ARID2/BAD/BRD2/BRD4/CD46/CD83/CD86/CR1/CYLD/EGR3/GATA3/HLA-DRA/HLA-DRB1/HLX/IFNG/IL2RA/IL2RG/IL7/IL7R/LEF1/MALT1/NCKAP1L/NFKBIZ/PTPRC/RARA/RASGRP1/RHOH/RIPK2/RUNX1/RUNX3/SART1/SHB/SHH/SMARCA4/SMARCC2/SMARCD2/SMARCD3/SOX12/SOX13/SYK/TGFB1/TGFBR2/TNFSF4/VNN1/XBP1/ZAP70/ZBTB7B",49
"GO:0046631","GO:0046631","alpha-beta T cell activation","70/3909","196/18986",0.357142857142857,1.73464166940759,5.26406050457881,6.17834265473398e-07,9.0721059353466e-05,7.83598367054511e-05,"AP3B1/AP3D1/ARMC5/BAG6/BCL11B/BCL2/BRD2/BRD4/CCR2/CD274/CD28/CD3D/CD55/CD69/CD83/CD86/CTSL/DOCK2/ENTPD7/FOSL2/GATA3/GPR183/HLA-DRA/HLA-DRB1/HLX/IFNG/IL15/IL2RA/IL2RG/IRF1/IRF4/ITK/JAK2/JUNB/KLRF1/LEF1/LGALS1/MALT1/MTOR/NCKAP1L/NFKBIZ/NKG7/PRDM1/PRKCQ/PTPRC/RARA/RC3H1/RIPK2/RUNX1/RUNX3/SEMA4A/SHB/SHH/SLAMF6/SLC4A2/SMAD7/STAT4/SYK/TARM1/TBX21/TGFBR2/TNFSF4/TOX/TRAC/TRBC1/TRBC2/TYK2/ZAP70/ZBTB7B/ZFPM1",70
"GO:0002221","GO:0002221","pattern recognition receptor signaling pathway","92/3909","278/18986",0.330935251798561,1.6073514174079,5.19432877991217,6.42939948836887e-07,9.22618826580933e-05,7.96907147110983e-05,"ABHD17A/AKT1/ALPK1/AP3B1/BANF1/BIRC3/CACTIN/CARD8/CD274/CHUK/CSNK1A1/CTSS/CYLD/DAB2IP/DDX60/ECSIT/EPG5/F2RL1/FCRL3/FLOT1/GBP5/GDI1/GFI1/GPATCH3/GPS2/GRAMD4/HSPA1A/HSPA1B/IFI16/IFI35/IFIH1/IRAK1/IRAK3/IRAK4/IRF1/IRF3/IRF4/IRF7/LBP/LRCH4/LY96/LYN/MAP3K7/MAPK8/MAPKAPK2/MFHAS1/NAIP/NFKBIL1/NFKBIZ/NOP53/NR1D1/OAS3/OASL/OGT/PELI1/PIK3AP1/PRKCE/PRKDC/PTPRS/PYCARD/RELA/RFTN1/RIOK3/RIPK2/RNF135/S100A9/SLC15A2/SLC15A3/SLC15A4/SMPDL3A/SPSB3/TAB1/TAX1BP1/TIFA/TLR1/TLR10/TLR2/TLR4/TLR5/TLR6/TLR8/TRAF3/TRAF3IP3/TRIL/TRIM11/UBQLN1/UNC93B1/USP15/USP50/WASHC4/ZCCHC3/ZDHHC12",92
"GO:0045088","GO:0045088","regulation of innate immune response","141/3909","470/18986",0.3,1.45709900230238,5.10935742512843,6.6445234638425e-07,9.2661118437033e-05,8.00355525102559e-05,"ABHD17A/AKT1/ALPK1/AP1G1/AP3B1/APOE/ARG1/ATG5/BANF1/BIRC3/CACTIN/CARD8/CARD9/CASP8/CD226/CD274/CD96/CDC37/CHUK/CLEC12B/CLEC7A/CNOT7/CR1/CSNK1A1/CTSS/CYLD/DAB2IP/DDX60/DHX9/ECSIT/EPG5/ERAP1/F2RL1/FCRL3/FLOT1/FPR2/GBP5/GDI1/GFER/GFI1/GPATCH3/GPS2/GRAMD4/GRN/HEXIM1/HLA-F/HSPA1A/HSPA1B/IFI16/IFI35/IFIH1/IL18RAP/IRAK1/IRAK3/IRAK4/IRF1/IRF3/IRF4/IRF7/KLRB1/KLRC3/KLRK1/LBP/LRCH4/LY96/LYN/MAP3K7/MAPK8/MAPKAPK2/MFHAS1/MICA/MNDA/NAIP/NFKBIL1/NFKBIZ/NLRC5/NOP53/NR1D1/NR1H2/OAS3/OASL/OGT/PARP14/PELI1/PIK3AP1/PIM1/PLSCR1/PRKCE/PRKDC/PTPN1/PTPN11/PTPN2/PTPRS/PYCARD/PYHIN1/RASGRP1/RELA/RFTN1/RIOK3/RIPK2/RNF135/S100A9/SLAMF6/SLC15A2/SLC15A3/SLC15A4/SMPDL3A/SPSB3/SUSD4/SYK/TAB1/TAX1BP1/TGFB1/TIFA/TLR1/TLR10/TLR2/TLR4/TLR5/TLR6/TLR8/TRAF3/TRAF3IP3/TRIL/TRIM11/TRIM41/TRIM56/TXK/UBQLN1/UNC93B1/USP15/USP27X/USP38/USP50/WASHC4/XRCC5/YTHDF2/YTHDF3/ZBP1/ZCCHC3/ZDHHC12",141
"GO:0006986","GO:0006986","response to unfolded protein","55/3909","143/18986",0.384615384615385,1.86807564397741,5.30556005009871,6.75073083323332e-07,9.2661118437033e-05,8.00355525102559e-05,"ABCA7/ATF3/ATF6/ATF6B/BAG3/BAX/BBC3/BCL2L11/BHLHA15/BOK/CCND1/DAB2IP/DAXX/DDIT3/DDRGK1/DERL1/DERL3/DNAJB1/DNAJB2/DNAJB9/DNAJC3/DNAJC4/EDEM1/EDEM3/EIF2AK3/EPG5/ERLEC1/ERO1A/ERP44/FICD/HERPUD1/HSF1/HSP90AB1/HSPA1A/HSPB1/HSPB2/JKAMP/MBTPS2/NCK1/PARP8/PPP1R15A/PTPN1/PTPN2/RHBDD1/SELENOS/STT3B/THBS4/TMBIM4/TMBIM6/TMEM129/TMEM33/TMTC4/TRAM1/UFL1/XBP1",55
"GO:1902115","GO:1902115","regulation of organelle assembly","80/3909","234/18986",0.341880341880342,1.66051168353547,5.17660829794388,7.9254125809211e-07,0.000106470329863693,9.19631860733533e-05,"ABI3/AKT1/ASAP1/ATG2A/ATG5/ATM/ATMIN/C9orf72/CASKIN1/CCSAP/CDK10/CEP120/CEP135/CEP295/CEP295NL/CHMP1A/CHMP2A/CHMP4A/CHMP4C/CNOT1/CNOT2/CNOT6L/CROCC/CYLD/EFNB1/EHMT2/EML3/EVI5L/FSCN1/FUZ/HSF1/HSPA1A/HSPA1B/IFT140/IL1RAP/KAT2A/KCTD17/LCP1/LIMK2/LRFN4/LRRC4B/LRRK2/LRSAM1/MAP4/MAPK15/MARCHF7/MDM1/MNS1/MPHOSPH9/MTOR/NUMA1/NUP62/NUPR1/ODF2/PAN3/PDCD6IP/PHF23/PIKFYVE/PINK1/PIP4K2A/PIP4K2C/PLK2/PPP1R35/PTK2B/PTPRD/PTPRS/RAB11FIP3/RAB1B/RABEP2/RIPOR2/SAXO1/SCFD1/SDC1/SPAG5/SPICE1/SYNE2/TBC1D14/TCHP/ULK1/WDR44",80
"GO:0001959","GO:0001959","regulation of cytokine-mediated signaling pathway","67/3909","187/18986",0.358288770053476,1.74020736460355,5.17949597134815,9.33481821416069e-07,0.000122791754592105,0.000106060730630628,"ADAM17/AGPAT1/ARG1/AXL/C1QTNF4/CACTIN/CARD16/CARD8/CASP4/CASP8/CDC37/CNOT7/CSF1/CXCR4/CYLD/DICER1/EDN1/EXT1/F2RL1/GFI1/GPS2/GSTP1/HIF1A/HSPA1A/HSPA1B/IL1RN/IL7/IRAK1/IRAK3/IRF3/IRF7/LAPTM5/MAPKAPK2/MIB2/NAIP/NLRC5/NOL3/NR1H2/OAS3/PALM3/PARP14/PELI3/PIAS4/PTPN1/PTPN11/PTPN2/PTPRC/PXDN/PYCARD/RIPK2/SHARPIN/SIGIRR/SPPL2B/STAP1/SYK/TANK/TRAF2/TRIM41/TRIM56/TXK/ULK1/USP25/USP27X/VRK2/YTHDF2/YTHDF3/ZBP1",67
"GO:0006354","GO:0006354","DNA-templated transcription elongation","52/3909","134/18986",0.388059701492537,1.88480467959512,5.2336148981801,9.78324790391466e-07,0.000126064137276157,0.000108887233920906,"ADRM1/AXIN1/BRD4/BTBD18/CCNT2/CDK9/CTDP1/EAF2/ELL2/ELL3/ELOA2/ELOB/ELP4/EZH2/GTF2F1/HEXIM1/HMGN1/INTS1/INTS10/INTS11/INTS13/INTS3/INTS5/INTS7/INTS9/MED14/MED16/MED22/MED23/MED25/MED29/MED31/MED6/NCBP1/NELFA/NELFB/NELFCD/NELFE/PAF1/POLR1F/POLR2E/PWWP2B/RNF168/SETD5/SHH/SUPT5H/SUPT6H/TCEA2/TCEA3/TCERG1/USP15/ZC3H4",52
"GO:0007249","GO:0007249","canonical NF-kappaB signal transduction","104/3909","327/18986",0.318042813455657,1.54473288725227,5.0593410750215,1.05315633062881e-06,0.000130110957228983,0.000112382653319001,"AJUBA/ALPK1/ATP2C1/BIRC3/BRD4/CACTIN/CARD10/CARD16/CARD8/CARD9/CASP10/CASP8/CC2D1A/CCR7/CHUK/CLEC4D/CLEC7A/CUL1/CX3CL1/CXXC5/DAB2IP/DDRGK1/DHX15/ECT2/EDA/EDN1/F2RL1/FASLG/FLOT1/GPR89A/GSTP1/HLA-DRB1/HSPB1/IL1B/ILK/IRAK1/IRAK3/IRAK4/IRF3/LGALS1/LTBR/LURAP1/MALT1/MAP3K7/MAPKBP1/MIB2/MYO18A/NFKB1/NFKB2/NFKBIB/NFKBIL1/NR1D1/NUP62/OTUD7B/PELI1/PIDD1/PIM2/PINK1/PLEKHG5/PLK2/PPM1N/PRDX4/PRKCB/PRKCE/PYCARD/RASSF2/RBCK1/RELA/RHOC/RHOH/RIOK3/RIPK2/RNF31/S100A13/S100A4/SHARPIN/SLC20A1/SLC39A8/SPHK2/STAT1/TANK/TFRC/TGFB1/TIFA/TLR2/TLR4/TLR6/TLR8/TNFSF10/TNFSF15/TRADD/TRAF2/TRAF3/TRAF5/TRIM13/TRIM22/TRIM68/UBD/UFL1/VEGFA/WDR83/ZDHHC13/ZDHHC17/ZFAND6",104
"GO:0034612","GO:0034612","response to tumor necrosis factor","82/3909","243/18986",0.337448559670782,1.63898653208224,5.10453231323849,1.06091825775803e-06,0.000130110957228983,0.000112382653319001,"ACTN4/ADAM17/ADAMTS13/ADAMTS7/AKAP12/AKT1/BIRC3/CACTIN/CARD16/CARD8/CASP3/CASP4/CASP8/CCL2/CD58/CD70/CHI3L1/CHUK/CXCL8/CYLD/DAB2IP/DHX9/DICER1/EDN1/EIF5A/ENDOG/EXT1/F2RL1/GATA3/GBP1/GFER/GPER1/GPS2/GSTP1/HES1/HSPA1A/HSPA1B/HYAL1/ILK/JAK2/KAT2A/KRT18/LAPTM5/MAP2K7/MAP3K5/MAP3K7/MAP4K3/MAPK14/MAPK3/MAPKAPK2/MIB2/NAIP/NFKB1/NOL3/NR1D1/PELI3/PIAS4/PLVAP/PTGS2/PTK2B/PTPN2/PYCARD/RELA/SELE/SHARPIN/SLC2A4/SPPL2B/STAT1/SYK/TANK/TIFA/TNFRSF17/TNFRSF25/TNFSF13B/TRADD/TRAF2/TRAF3/TRAF5/UBD/ULK1/YTHDC2/ZFAND6",82
"GO:1902107","GO:1902107","positive regulation of leukocyte differentiation","69/3909","195/18986",0.353846153846154,1.71862959245922,5.1360367785161,1.09215722729428e-06,0.000130110957228983,0.000112382653319001,"AP3B1/AP3D1/ARID2/AXL/BAD/BRD2/BRD4/CASP8/CCR1/CD46/CD83/CD86/CR1/CSF1/CYLD/DDRGK1/EGR3/EVI2B/FES/GATA3/HLA-DRA/HLA-DRB1/HLX/HSF1/ID2/IFNG/IL15/IL2RA/IL2RG/IL7/IL7R/LEF1/MALT1/NCKAP1L/NEDD9/NFKBIZ/PF4/PPP2R3C/PRKDC/PTPRC/RARA/RASGRP1/RB1/RHOH/RIPK2/RUNX1/RUNX3/SART1/SHB/SHH/SMARCA4/SMARCC2/SMARCD2/SMARCD3/SOX12/SOX13/SYK/TGFB1/TGFBR2/TM4SF19/TMEM64/TNFSF4/TOX/TRIB1/VNN1/XBP1/ZAP70/ZBTB46/ZBTB7B",69
"GO:1903708","GO:1903708","positive regulation of hemopoiesis","69/3909","195/18986",0.353846153846154,1.71862959245922,5.1360367785161,1.09215722729428e-06,0.000130110957228983,0.000112382653319001,"AP3B1/AP3D1/ARID2/AXL/BAD/BRD2/BRD4/CASP8/CCR1/CD46/CD83/CD86/CR1/CSF1/CYLD/DDRGK1/EGR3/EVI2B/FES/GATA3/HLA-DRA/HLA-DRB1/HLX/HSF1/ID2/IFNG/IL15/IL2RA/IL2RG/IL7/IL7R/LEF1/MALT1/NCKAP1L/NEDD9/NFKBIZ/PF4/PPP2R3C/PRKDC/PTPRC/RARA/RASGRP1/RB1/RHOH/RIPK2/RUNX1/RUNX3/SART1/SHB/SHH/SMARCA4/SMARCC2/SMARCD2/SMARCD3/SOX12/SOX13/SYK/TGFB1/TGFBR2/TM4SF19/TMEM64/TNFSF4/TOX/TRIB1/VNN1/XBP1/ZAP70/ZBTB46/ZBTB7B",69
"GO:0035967","GO:0035967","cellular response to topologically incorrect protein","46/3909","114/18986",0.403508771929825,1.95984076333069,5.23387468685562,1.13034663267435e-06,0.0001321668266427,0.000114158399685883,"ABCA7/ATF3/ATF6/ATF6B/BAG3/BAX/BBC3/BCL2L11/BHLHA15/BOK/CCND1/CUL3/DAB2IP/DAXX/DDIT3/DDRGK1/DERL1/DERL3/DNAJB9/EDEM1/EDEM3/EIF2AK3/ERLEC1/ERO1A/FICD/HERPUD1/HSF1/HSPA1A/MBTPS2/NCK1/PARP8/PPP1R15A/PTPN1/PTPN2/RHBDD1/RNF126/SELENOS/TMBIM4/TMBIM6/TMEM33/TMTC4/UBE2W/UBR4/UBR5/UFL1/XBP1",46
